X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
3142,0,77,906,5,922,865.2,764.3,648.6,521.1,6.23,15.8,140.1489506,247.7995938,30
3144,0,77,906,5,921.7,865.2,766.3,648.5,521.1,6.46,15.8,144.4291609,251.7193948,29
3146,0,77,906,5,921.3,865.2,766.3,648.5,520.9,6.58,15.8,145.631068,254.8543689,29
3148,0,77,906,5,921,866.3,766.3,648.5,520.9,6.71,15.8,145.9062281,257.1728481,29
3150,0,77,906,5,921,866.3,764.3,648.5,520.9,6.63,15.7,140.9185804,254.697286,29
3152,0,77,906,5,921,866.3,764.3,648.5,521.7,6.27,15.8,132.3828921,248.4725051,29
3154,0,77,906,5,920.9,868.3,764.3,648.5,521.7,6.16,15.8,130.3908356,246.6307278,30
3156,0,77,906,5,920.7,868.3,766.3,648.5,521.7,6.06,15.8,129.5180723,244.9799197,30
3158,0,77,906,5,920.3,868.3,766.3,648.3,521.7,6.11,15.9,131.9677636,245.802552,29
3160,0,77,906,5,919.9,869.8,766.3,648.3,521.7,6.37,16,138.4142174,250.1708817,29
3162,0,77,906,5,919.5,869.8,764.3,648.3,521.7,6.62,15.9,139.7774687,254.5201669,29
3164,0,77,906,5,919.3,869.8,764.3,648.2,521.7,6.75,15.9,141.0526316,256.8421053,29
3166,0,77,906,5,919.1,868.3,764.3,648.2,521.7,7.19,15.7,139.0296886,265.025344,29
3168,0,77,906,5,918.8,868.3,764.5,648.2,521.7,7.38,15.7,135.4625551,268.722467,29
3170,0,77,906,5,918.5,868.3,764.5,647.3,521.7,7.33,15.6,128.3833211,268.8368691,29
3172,0,77,906,5,918.2,870.3,764.5,647.3,521.6,7.14,15.6,121.2121212,265.1515152,29
3174,0,77,906,5,917.7,870.3,764.5,647.3,521.6,7.03,15.6,118.1102362,263.0637079,30
3176,0,77,906,5,917.5,870.3,764.5,647.5,521.6,6.85,15.5,112.3674912,259.7173145,30
3178,0,77,906,5,917.2,873.9,764.5,647.5,521.3,6.63,15.4,107.5156576,255.7411273,30
3180,0,77,906,5,917.2,873.9,764.6,647.5,521.3,6.51,15.4,105.5900621,253.6231884,30
3182,0,77,906,5,916.9,873.9,764.6,649.6,521.3,6.47,15.4,105.2993806,253.9573297,30
3184,0,77,906,5,916.6,870.8,764.6,649.6,521.2,6.48,15.3,106.4049587,254.1322314,30
3186,0,77,906,5,916.8,870.8,765.2,649.6,521.2,6.64,15.3,108.6350975,256.9637883,30
3188,0,77,906,5,916.7,870.8,765.2,650.5,521.2,6.79,15.3,110.8374384,259.6762843,30
3190,0,77,906,5,916.6,870.8,765.2,650.5,521.3,6.85,15.3,111.3074205,260.7773852,30
